indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Population 5-14 ans,Total,Sud-Ouest,390840,397950,406933,417789,426061,432699,440727,448144,454169,460125
Population 5-14 ans,Total,Ouest,583067,596194,613566,630611,645149,653808,664167,673650,680206,686526
Population 5-14 ans,Total,Douala,656801,677905,695823,715184,725840,730141,735420,739176,742719,746637
Population 5-14 ans,Total,Yaoundé,656580,673047,689719,697975,701694,715723,729157,741184,749339,757648
Adolescents 10-14 ans,Total,Cameroun,2856291,2917814,2995936,3055075,3099501,3183107,3253027,3318933,3386564,3448096
Adolescents 10-14 ans,Total,Adamaoua,151356,152596,154647,157983,159246,163271,168551,173820,178835,183768
Adolescents 10-14 ans,Total,Centre (Sans Yaoundé),190576,192831,194830,193321,188594,194380,197641,200839,203760,207440
Adolescents 10-14 ans,Total,Est,141207,142270,142964,144706,143575,143168,144246,145089,146136,146493
Adolescents 10-14 ans,Total,Extrême-Nord,563318,570264,579772,589164,606106,624881,644231,665106,685559,710225
Adolescents 10-14 ans,Total,Littoral (Sans Douala),70040,70810,71284,72469,73201,75569,76701,77750,78250,78653
Adolescents 10-14 ans,Total,Nord,322437,326639,335264,346155,356085,372195,384323,397255,405774,419774
Adolescents 10-14 ans,Total,Nord-Ouest,251036,259498,268842,277190,282325,285502,288668,291231,295995,297161
Adolescents 10-14 ans,Total,Sud,105948,108196,110074,103382,94183,94823,95674,96199,97465,97298
Adolescents 10-14 ans,Total,Sud-Ouest,183281,186008,191126,195754,201133,206199,210555,214575,220741,223730
Adolescents 10-14 ans,Total,Ouest,255027,261895,273615,286803,297856,305622,311424,316892,320298,323436
Adolescents 10-14 ans,Total,Douala,306315,322393,338754,350145,359734,364174,369577,371832,380050,381657
Adolescents 10-14 ans,Total,Yaoundé,315750,324414,334764,338003,337463,353323,361436,368345,373701,378461
Adolescents 15-19 ans,Total,Cameroun,2550592,2584352,2629441,2699759,2740339,2797451,2855590,2931326,2983457,3021717
Adolescents 15-19 ans,Total,Adamaoua,146380,144896,145939,147207,148653,147196,148298,150205,152987,153694
Adolescents 15-19 ans,Total,Centre (Sans Yaoundé),153909,158403,162129,170107,177096,182192,184326,186360,184768,180042
Adolescents 15-19 ans,Total,Est,122610,126081,129861,132680,136588,137970,138917,139491,140700,139051
Adolescents 15-19 ans,Total,Extrême-Nord,540518,536308,543627,547317,541607,538207,544712,554075,562554,578464
Adolescents 15-19 ans,Total,Littoral (Sans Douala),64197,64462,64899,65367,64065,64646,65317,65751,66821,67456
